,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Puerto Ayora,EC,66.54,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Eyl,SO,76.1,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
5,Iracoubo,GF,79.41,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
6,Cuamba,MZ,68.86,clear sky,-14.8031,36.5372,Hotel Vision
10,Monte San Giovanni Campano,IT,60.58,clear sky,41.6406,13.5137,Villa del Colle
12,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
13,Fukue,JP,73.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
14,Atuona,PF,77.09,broken clouds,-9.8,-139.0333,Villa Enata
19,Pemangkat,ID,77.86,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
20,Kalabo,ZM,69.4,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
22,Port Alfred,ZA,60.19,clear sky,-33.5906,26.891,The Halyards Hotel
24,Akyab,MM,78.44,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
25,Katsuura,JP,75.22,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
26,Bambous Virieux,MU,68.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
27,Lagoa,PT,67.48,overcast clouds,39.05,-27.9833,Casa Das Faias
31,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
34,Machaneng,BW,75.16,clear sky,-23.1862,27.4886,BushBabies
41,Grand Gaube,MU,68.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
43,Rikitea,PF,70.56,broken clouds,-23.1203,-134.9692,People ThankYou
45,Powell River,CA,67.64,smoke,49.8496,-124.5361,Rodmay Hotel
47,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
48,Margate,GB,62.91,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
52,Vila Velha,BR,73.35,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
55,Karratha,AU,77.13,clear sky,-20.7377,116.8463,ibis Styles Karratha
61,Farmington,US,68.77,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
62,Bengkulu,ID,76.71,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
63,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
64,Salamanca,ES,65.62,clear sky,40.8333,-6.0,Palacio Carrascalino
72,Adilcevaz,TR,62.06,clear sky,38.8039,42.7342,Adilcevaz Ogretmen Evi
75,Portland,US,71.94,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
76,Kozan,TR,70.25,overcast clouds,37.4552,35.8157,Ezel Kiz Ogrenci Yurdu
80,Ambilobe,MG,63.99,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
84,Batesville,US,70.21,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
94,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
98,Elbistan,TR,62.19,few clouds,38.2059,37.1983,Sword Hotel
101,Tingo Maria,PE,69.57,overcast clouds,-9.2895,-76.0088,Hospedaje Paraíso
103,Liverpool,GB,62.29,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
105,East London,ZA,63.27,overcast clouds,-33.0153,27.9116,Tu Casa
110,Camacha,PT,65.62,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
116,Yulara,AU,72.46,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
119,Pullman,US,77.61,clear sky,46.7313,-117.1796,"Holiday Inn Express & Suites Pullman, an IHG Hotel"
124,Jati,PK,77.94,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
125,Salalah,OM,76.21,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
126,Tomatlan,MX,76.17,broken clouds,19.9333,-105.25,El Salvial
128,Soto,AR,65.03,few clouds,-32.8107,-61.4026,Hotel Verdesole
133,Obidos,BR,79.56,scattered clouds,-1.9175,-55.5181,Hotel Amazônia Center
134,Caravelas,BR,75.58,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
136,Arraial Do Cabo,BR,71.46,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
137,Garden City,US,60.96,clear sky,42.3256,-83.331,Big Trees Mobile Home Community
140,Ponta Do Sol,PT,71.71,scattered clouds,32.6667,-17.1,Hotel do Campo
143,Marrakesh,MA,73.47,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
144,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
152,Savalou,BJ,72.63,overcast clouds,7.9281,1.9756,Hotel F&F
154,Guerrero Negro,MX,71.4,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
155,Bambanglipuro,ID,79.16,overcast clouds,-7.95,110.2833,Puri Brata
159,Dauphin,CA,62.74,scattered clouds,51.1494,-100.0502,Canway Inn & Suites
166,Bonthe,SL,77.0,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
167,Whitefish,US,69.55,clear sky,48.4111,-114.3376,Best Western Rocky Mountain Lodge
169,Turmalina,BR,66.52,scattered clouds,-17.2856,-42.73,Hotel Cristal
170,Yakuplu,TR,63.01,clear sky,40.9889,28.6758,Grand Plaza Hotel
176,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
178,Dangara,IN,74.17,clear sky,29.6799,75.8931,Mirchi Hotel & Restaurant Tohana
181,Concepcion Del Oro,MX,60.15,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
182,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
185,Iralaya,HN,75.94,overcast clouds,15.0,-83.2333,Iglesia morava renovada
189,Khash,IR,64.81,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
190,Ajdabiya,LY,70.52,clear sky,30.7554,20.2263,منزلة الحاج سالم خليفة العيساويه الزواوي
193,Cedar City,US,63.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
194,Bose,IT,63.21,scattered clouds,45.4612,8.0137,Locanda Borgo Antico
196,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
198,Ribeira Grande,PT,70.92,light rain,38.5167,-28.7,Quinta da Meia Eira
199,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
200,Bijie,CN,66.04,broken clouds,27.3125,105.2942,Four Points by Sheraton Bijie
205,Tamale,GH,75.51,overcast clouds,9.4008,-0.8393,Tap Hotel
206,Mbini,GQ,75.2,overcast clouds,1.574,9.6134,Candy Vista Mar Mbini
207,Anloga,GH,77.5,overcast clouds,5.7947,0.8973,Pin Drop Hotel
208,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
209,Sao Joao Da Barra,BR,71.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
215,Faanui,PF,78.53,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
218,Cap Malheureux,MU,67.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
221,Shahrud,IR,64.89,clear sky,36.4182,54.9763,Royal Hotel
222,Geraldton,AU,63.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
225,Marsa Matruh,EG,75.4,scattered clouds,31.3525,27.2453,Beau Site
226,Alta Floresta,BR,73.29,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
227,Clarence Town,AU,64.62,moderate rain,-32.5833,151.7833,River Downs Cottage
229,Porto Novo,BJ,75.81,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
231,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
232,Sandpoint,US,72.86,clear sky,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
237,Kahului,US,79.97,light rain,20.8947,-156.47,Maui Seaside Hotel
240,Kambove,CD,64.54,few clouds,-10.8764,26.5969,Pat. Mukendi
242,Bartlesville,US,75.94,overcast clouds,36.7473,-95.9808,Hilton Garden Inn Bartlesville
244,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
246,Hualmay,PE,61.16,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
252,Pisco,PE,60.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
253,Sinnamary,GF,78.93,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
256,Porto-Vecchio,FR,64.06,few clouds,41.591,9.2795,Hôtel Le Goéland - Casa Santini
259,Miraflores,MX,64.02,broken clouds,19.2167,-98.8083,Hotel Mansión
266,Plerin,FR,61.2,broken clouds,48.5425,-2.7798,Hotel Ker Izel
268,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
269,Fortuna,US,65.91,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
272,Coos Bay,US,62.31,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
273,Jalu,LY,71.49,clear sky,29.0331,21.5482,صاحبة الفخامة
274,Damaturu,NG,77.11,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
279,Broken Hill,AU,75.94,few clouds,-31.95,141.4333,Royal Exchange Hotel
280,Shwebo,MM,77.76,scattered clouds,22.5667,95.7,MOON SHINE Guest House
281,La Ronge,CA,61.05,smoke,55.1001,-105.2842,Northland Motor Hotel
283,Sambava,MG,69.49,overcast clouds,-14.2667,50.1667,Melrose
284,San Juan De La Maguana,DO,74.95,overcast clouds,18.8059,-71.2299,Hotel Maguana
286,Hue,VN,78.91,scattered clouds,16.4667,107.6,Saigon Morin Hotel
287,Pombia,IT,61.21,scattered clouds,45.653,8.6336,Albergo Fontana
289,Syracuse,IT,67.37,broken clouds,37.0881,15.2792,Hotel Posta
291,Lake City,US,64.85,clear sky,30.1897,-82.6393,Ramada Limited Lake City
294,Tuy Hoa,VN,79.3,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
301,Carnarvon,AU,69.84,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
302,Vathi,GR,66.47,few clouds,38.4,23.6,Δεσποτικό στο Βαθύ Αυλίδος // Apartment to rent in Vathi Avlidos
306,Ilhabela,BR,66.83,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
308,Mmathubudukwane,BW,77.09,scattered clouds,-24.6,26.4333,Gill Sleepover Guesthouse
309,Dungarpur,IN,76.53,scattered clouds,23.8333,73.7167,Gayatri Hotel
310,Sakakah,SA,76.57,scattered clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
316,Kaminokawa,JP,67.28,overcast clouds,36.4333,139.9167,Taki
320,Athabasca,CA,63.01,scattered clouds,54.7169,-113.2854,Athabasca Lodge Motel
322,Port Hardy,CA,62.17,overcast clouds,50.6996,-127.4199,Airport Inn-Port Hardy
323,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
324,Awbari,LY,71.38,clear sky,26.5921,12.7805,استراحة الشارب العائلي
326,Crestview,US,73.24,scattered clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
327,Bayeux,BR,73.06,scattered clouds,-7.125,-34.9322,Infinity Motel
329,Salinopolis,BR,79.32,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
330,Sechura,PE,63.14,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
331,Siirt,TR,69.73,scattered clouds,37.9326,41.9403,Barden Otel
333,Neiafu,TO,78.85,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
335,Tairua,NZ,60.62,overcast clouds,-37.0167,175.85,Pacific Harbour Villas
340,Doba,TD,69.28,overcast clouds,8.65,16.85,Restaurant Auberge La Pétrolière
343,Saint-Pierre,RE,67.68,overcast clouds,-21.3393,55.4781,Alize Plage
345,Ayia Marina,GR,65.3,clear sky,37.75,23.5333,Argo Spa Hotel
352,San Francisco,US,79.47,few clouds,37.7749,-122.4194,Edwardian Hotel
353,Touros,BR,76.32,few clouds,-5.1989,-35.4608,INN NEW HORIZON
354,Lompoc,US,78.94,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
357,Port Lincoln,AU,64.35,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
360,Marsh Harbour,BS,79.75,few clouds,26.5412,-77.0636,Abaco Beach Resort
363,Newport,GB,63.14,overcast clouds,51.5877,-2.9984,ibis budget Newport
