,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,44.8,96,79,3.06,light rain
1,Puerto Ayora,EC,-0.7393,-90.3518,66.54,94,27,5.99,scattered clouds
2,Mahebourg,MU,-20.4081,57.7,68.29,83,40,4.61,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,44.26,87,75,11.5,moderate rain
4,Eyl,SO,7.9803,49.8164,76.1,83,35,11.18,scattered clouds
5,Iracoubo,GF,5.4802,-53.2011,79.41,81,9,10.67,clear sky
6,Cuamba,MZ,-14.8031,36.5372,68.86,33,8,3.62,clear sky
7,Saldanha,ZA,-33.0117,17.9442,46.45,70,0,10.78,clear sky
8,Husavik,IS,66.0449,-17.3389,41.27,98,100,21.83,overcast clouds
9,Marevo,RU,57.3146,32.0804,40.37,96,100,2.91,overcast clouds
10,Monte San Giovanni Campano,IT,41.6406,13.5137,60.58,87,6,4.41,clear sky
11,Darhan,MN,49.4867,105.9228,32.38,45,0,4.54,clear sky
12,Cayenne,GF,4.9333,-52.3333,78.84,83,0,1.14,clear sky
13,Fukue,JP,32.6881,128.8419,73.76,78,40,13.8,scattered clouds
14,Atuona,PF,-9.8,-139.0333,77.09,67,73,21.36,broken clouds
15,Busselton,AU,-33.65,115.3333,58.26,69,33,17.36,scattered clouds
16,Hobart,AU,-42.8794,147.3294,55.06,65,75,10.36,broken clouds
17,Labuhan,ID,-6.8844,112.2051,81.5,71,100,12.46,overcast clouds
18,Pevek,RU,69.7008,170.3133,27.43,76,86,7.7,overcast clouds
19,Pemangkat,ID,1.1667,108.9667,77.86,87,99,8.97,overcast clouds
20,Kalabo,ZM,-14.97,22.6814,69.4,21,3,5.7,clear sky
21,Cape Town,ZA,-33.9258,18.4232,59.38,64,0,2.3,clear sky
22,Port Alfred,ZA,-33.5906,26.891,60.19,88,0,1.99,clear sky
23,Longyearbyen,SJ,78.2186,15.6401,37.24,75,75,14.97,broken clouds
24,Akyab,MM,20.15,92.9,78.44,87,100,6.33,overcast clouds
25,Katsuura,JP,35.1333,140.3,75.22,83,100,18.14,light rain
26,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,40,4.61,scattered clouds
27,Lagoa,PT,39.05,-27.9833,67.48,87,100,24.87,overcast clouds
28,Sioux Lookout,CA,50.1001,-91.917,57.27,94,75,3.44,broken clouds
29,Lorengau,PG,-2.0226,147.2712,84.65,73,100,11.27,overcast clouds
30,Moose Factory,CA,51.2585,-80.6094,46.4,93,100,1.14,overcast clouds
31,Saint-Philippe,RE,-21.3585,55.7679,67.59,77,43,10.11,scattered clouds
32,Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,11.5,broken clouds
33,Mahibadhoo,MV,3.7833,72.9667,81.88,77,100,16.28,overcast clouds
34,Machaneng,BW,-23.1862,27.4886,75.16,52,0,21.54,clear sky
35,Rubik,AL,41.7744,19.7861,47.86,69,0,7.87,clear sky
36,Turukhansk,RU,65.8167,87.9833,32.63,99,100,7.45,light snow
